skeleton	length	word	p.as.self	freq
CWCWCVFCVF	10	chauvinistic	0.0008279977532295498	3.6375861597263857
CWCWCVFCVF	10	butterfingers	4.045313697643807e-05	1.791759469228055
CWCWCVFCVF	10	mechanistic	0.0008310305977695699	2.302585092994046
CWCWCVFCVF	10	kaleidoscope	0.00016018168168848806	3.6375861597263857
CWCWCVFCVF	10	fatalistic	0.00017119926627951268	3.4657359027997265
CWCWCVFCVF	10	dereliction	0.0012299306046598762	4.7535901911063645
CWCWCVFCVF	10	hedonistic	0.00035525008533328725	2.8903717578961645
CWCWCVFCVF	10	filamentous	0.0004864717238458662	2.302585092994046
CWCWCVFCVF	10	horizontal	0.0002589148219783557	5.375278407684165
CWCWCVFCVF	10	polytechnic	0.0002584601325201511	3.258096538021482
CWCWCVFCVF	10	moralistic	0.00130897460509025	3.871201010907891
CWCWCVFCVF	10	eucalyptus	0.0005425122250963287	3.9512437185814275
CWCWCVFCVF	10	eucharistic	0.0008378590330556288	0.6931471805599453
CWCWCVFCVF	10	rarefaction	0.0021124864091692174	1.3862943611198906
CWCWCVFCVF	10	sycophantic	0.00017210725981420762	2.0794415416798357
CWCWCVFCVF	10	regimental	0.0020598829419705865	3.332204510175204
CWCWCVFCVF	10	legalistic	0.0007088218720266775	3.871201010907891
CWCWCVFCVF	10	malediction	0.0012725950692287476	0.6931471805599453
CWCWCVFCVF	10	residential	0.0007394964033575538	6.625392368007956
CWCWCVFCVF	10	disassemble	0.00032186950947091675	3.1780538303479458
CWCWCVFCVF	10	socialistic	0.0016225130447975467	3.6888794541139363
CWCWCVFCVF	10	journalistic	0.0023269793638677873	6.643789733147672
CWCWCVFCVF	10	maladjusted	0.000909605792156292	2.0794415416798357
CWCWCVFCVF	10	periwinkle	0.000439304069311026	2.4849066497880004
CWCWCVFCVF	10	penitential	0.0005680947968691546	1.791759469228055
CWCWCVFCVF	10	benediction	0.0005458447220689969	3.871201010907891
CWCWCVFCVF	10	barometric	0.0026306631948792496	2.995732273553991
CVFCWCVFCVF	11	detrimental	0.0002674294739770531	5.4638318050256105
CVFCWCVFCVF	11	hydrocarbon	0.00012875194609791773	4.543294782270004
CVFCWCVFCVF	11	confidential	6.971367508145326e-05	6.960347729101308
CVFCWCVFCVF	11	carbohydrate	0.0002108226150824053	5.991464547107982
CVFCWCVFCVF	11	kindergarten	3.36522831409938e-05	6.672032945461067
CVFCWCVFCVF	11	fundamental	4.762588795021497e-05	8.490027523343468
CVFCWCVFCVF	11	continental	6.668052803675658e-05	6.682108597449809
CVFCWCVFCVF	11	tenderhearted	3.012728147566134e-05	1.791759469228055
CVFCWCVFCVF	11	liquefaction	0.0009621815332268198	0.6931471805599453
CVFCWCVFCVF	11	supplemental	0.0003654481597329901	5.605802066295998
CVFCWCVFCVF	11	communistic	0.0002987775798399303	2.8903717578961645
CVFCWCVFCVF	11	consonantal	0.00015598551184881567	0.6931471805599453
CVFCWCVFCVF	11	temperamental	9.252273821788006e-05	4.454347296253507
CVFCWCVFCVF	11	sacramental	0.00067559621305577	2.995732273553991
CVFCWCVFCVF	11	monumental	0.00044964288232894335	6.104793232414985
CVFCWCVFCVF	11	sentimental	0.00020584808287506666	5.996452088619021
VFCWCVFCWCVF	12	indigestible	6.003062878624138e-05	1.791759469228055
VFCWCVFCWCVF	12	ornamentation	0.0005956576010446265	2.995732273553991
VFCWCVFCWCVF	12	insurmountable	0.00017409825355920553	5.0106352940962555
VFCWCVFCWCVF	12	imperceptible	3.790331648826544e-05	2.6390573296152584
VFCWCVFCWCVF	12	indissoluble	8.212986797810825e-05	0.6931471805599453
VFCWCVFCWCVF	12	insupportable	3.7544641429296727e-05	2.0794415416798357
VFCWCVFCWCVF	12	insubordinate	9.653724546011224e-05	2.8903717578961645
VFCWCVFCWCVF	12	impenetrable	0.0002138015656432943	4.406719247264253
VFCWCVFCWCVF	12	antihistamine	0.00011356192803271494	4.248495242049359
VFCVFCWCVF	10	advantageous	0.0004562310941817723	4.406719247264253
VFCVFCWCVF	10	adventitious	0.0003947852777858805	0.6931471805599453
VFCVFCWCVF	10	atmospheric	0.0022439544407599978	5.537334267018537
VFCVFCWCVF	10	incantation	0.0009540878777527013	3.258096538021482
VFCVFCWCVF	10	execution	0.006483927196332372	7.804659297056102
VFCVFCWCVF	10	infestation	0.0008502802494424172	3.828641396489095
VFCVFCWCVF	10	invaluable	0.0005482357961138619	5.170483995038151
VFCVFCWCVF	10	intangible	0.0006165502651830471	4.820281565605037
VFCVFCWCVF	10	attribution	0.004358606577576534	4.127134385045092
VFCVFCWCVF	10	executive	0.0005117449160392465	9.446518601560848
VFCVFCWCVF	10	insoluble	0.000990954915955054	2.8903717578961645
VFCVFCWCVF	10	investigate	0.00034616120120311016	8.116715624819111
VFCVFCWCVF	10	intentional	0.0028944579802369736	6.182084906716632
VFCVFCWCVF	10	importation	0.0007072407302137677	4.564348191467836
VFCVFCWCVF	10	articulate	0.0013093911995659333	6.943122422819428
VFCVFCWCVF	10	obfuscation	0.0002750532238186738	3.828641396489095
VFCVFCWCVF	10	investiture	0.0007057411181662825	1.791759469228055
VFCVFCWCVF	10	encyclical	0.001736530165114725	3.091042453358316
VFCVFCWCVF	10	incarnation	0.002833559187261544	5.135798437050262
VFCVFCWCVF	10	exhortation	0.0017422806872579501	3.6888794541139363
VFCVFCWCVF	10	informative	0.00030896827201201026	5.420534999272286
VFCVFCWCVF	10	augmentation	0.0006842489233979833	4.584967478670572
VFCVFCWCVF	10	integration	0.0015550058272647395	6.721425700790643
