mutual.info	lex.type
4.899666827627208	actual
4.8716468914180595	scrambled
4.8777239505231025	scrambled
4.877556747427759	scrambled
4.877741289728095	scrambled
4.892731783582178	scrambled
4.899569857028195	scrambled
4.920601440719499	scrambled
4.86318531814801	scrambled
4.85614643821209	scrambled
4.850084615921224	scrambled
4.884522248497487	scrambled
4.8939137763624645	scrambled
4.852707107211015	scrambled
4.855918787566935	scrambled
4.871558695376126	scrambled
4.847502797794847	scrambled
4.839624293357204	scrambled
4.877230507784939	scrambled
4.8501876853672545	scrambled
4.862248170234318	scrambled
4.870298311595621	scrambled
4.843398285042568	scrambled
4.851168467088093	scrambled
4.847935951555571	scrambled
4.8697000343131265	scrambled
4.826352858500779	scrambled
4.893067112815692	scrambled
4.8673715748373745	scrambled
4.871908254883752	scrambled
4.847505434705568	scrambled
4.862083803953136	scrambled
4.884225437320837	scrambled
4.839416096183211	scrambled
4.869427914427418	scrambled
4.826100950170872	scrambled
4.877060541305229	scrambled
4.814063405899045	scrambled
4.8714290425576	scrambled
4.866907799678832	scrambled
4.897412063166043	scrambled
4.862031456173436	scrambled
4.851832086175581	scrambled
4.846681888112614	scrambled
4.842791783244784	scrambled
4.858164168966844	scrambled
4.85256531124031	scrambled
4.848756264778784	scrambled
4.879769607941414	scrambled
4.858351782691577	scrambled
4.881600262074844	scrambled
4.868476894588013	scrambled
4.887396537610156	scrambled
4.8406016526821745	scrambled
4.84649940823267	scrambled
4.8753708698221905	scrambled
4.852242973930504	scrambled
4.814739320874423	scrambled
4.8654186316589385	scrambled
4.8613765321129785	scrambled
4.884163613888756	scrambled
4.905106747724976	scrambled
4.893755538892553	scrambled
4.857355076789656	scrambled
4.845225327475356	scrambled
4.885632015851159	scrambled
4.836101827873166	scrambled
4.832605986029819	scrambled
4.883491823492098	scrambled
4.879677605144088	scrambled
4.896977286683356	scrambled
4.899005581121882	scrambled
4.894615692869908	scrambled
4.867169518486495	scrambled
4.8753930361693225	scrambled
4.854794504670079	scrambled
4.856584997043525	scrambled
4.8698785986869355	scrambled
4.8664113946657706	scrambled
4.861556920732942	scrambled
4.894590546109677	scrambled
4.889371109026683	scrambled
4.87581484021983	scrambled
4.822815784535381	scrambled
4.855212279672451	scrambled
4.8630181488616975	scrambled
4.8639638408767425	scrambled
4.854544410908977	scrambled
4.839297539814275	scrambled
4.853972907686299	scrambled
4.859446720102115	scrambled
4.849708005877624	scrambled
4.84687656224015	scrambled
