skeleton	length	word	p.as.self	freq
CVFCWCVF	8	porcelain	0.0004213287368723026	4.624972813284271
CVFCWCVF	8	locution	0.003028119392342231	1.791759469228055
CVFCWCVF	8	hybridize	4.970947172728905e-05	0.6931471805599453
CVFCWCVF	8	talmudic	0.0001388706099691628	2.302585092994046
CVFCWCVF	8	syndicate	0.00021198761684510542	5.075173815233827
CVFCWCVF	8	subtitle	5.061822758532259e-05	5.703782474656201
CVFCWCVF	8	madrigal	0.0008020005602575022	2.8903717578961645
CVFCWCVF	8	sublimate	0.0002531215474073704	2.302585092994046
CVFCWCVF	8	disparate	0.0002024271920410359	5.384495062789089
CVFCWCVF	8	narcissus	0.0012341781125057942	2.6390573296152584
CVFCWCVF	8	misbehave	0.00018078068291499486	4.189654742026425
CVFCWCVF	8	sensation	0.0019223185982227631	6.919683849847411
CVFCWCVF	8	detritus	0.00026572026001748096	2.0794415416798357
CVFCWCVF	8	nasturtium	0.001196490604957677	1.3862943611198906
CVFCWCVF	8	festival	3.7165051064533855e-05	7.71333788887187
CVFCWCVF	8	sensible	0.0005354980119919536	6.81783057145415
CVFCWCVF	8	pickpocket	0.00026073896321498666	3.9889840465642745
CVFCWCVF	8	luncheonette	0.003762824251577848	2.302585092994046
CVFCWCVF	8	cuspidor	2.909058328262491e-05	0.6931471805599453
CVFCWCVF	8	subsidize	3.0386397676186513e-05	5.976350909297934
CVFCWCVF	8	secretion	0.005686991108307407	3.912023005428146
CVFCWCVF	8	nocturnal	0.0006936037330728878	4.127134385045092
CVFCWCVF	8	secretive	0.00015189866015123216	6.0063531596017325
CVFCWCVF	8	baptism	8.21554518925985e-05	4.955827057601261
CVFCWCVF	8	tarpaulin	0.00026381860149541074	2.8903717578961645
CVFCWCVF	8	lucrative	9.166252252322695e-05	6.4425401664681985
CVFCWCVF	8	tantalize	5.7509715457740254e-05	2.6390573296152584
CVFCWCVF	8	sensitize	8.053007258900996e-05	2.4849066497880004
CVFCWCVF	8	cortical	0.00010868930909539575	2.0794415416798357
CVFCWCVF	8	mountaineer	0.0012803103162368692	4.927253685157205
CVFCWCVF	8	pantomime	0.00020099382685727357	2.8903717578961645
CVFCWCVF	8	sensitive	0.0001532387672200886	8.265135629937385
CVFCWCVF	8	tantalum	6.307372360316527e-05	0.6931471805599453
CVFCWCVF	8	counterman	0.00045835821970701334	0.6931471805599453
CVFCWCVF	8	vaccinate	0.00014940087466738848	4.997212273764115
CVFCWCVF	8	destitute	2.0654432749409782e-05	4.68213122712422
CVFCWCVF	8	cordovan	1.2417019531025182e-05	0.6931471805599453
CVFCWCVF	8	sarcasm	0.00012280451850212317	4.5217885770490405
CVFCWCVF	8	cortisone	0.00027161300642840244	3.58351893845611
CVFCWCVF	8	necrosis	0.0016812504676149075	2.8903717578961645
CVFCWCVF	8	lactation	0.0012687254349930531	3.091042453358316
CVFCWCVF	8	factitious	0.00037275226896762536	0.6931471805599453
CVFCWCVF	8	communal	0.0008149679550186759	5.236441962829949
CVFCWCVF	8	posthumous	0.0002482353911061415	3.9512437185814275
CVFCWCVF	8	longitude	0.0001334413619342726	3.9512437185814275
CVFCWCVF	8	manganese	0.0006051713803916103	1.3862943611198906
CVFCWCVF	8	symbolize	0.00029960692306689446	5.2574953720277815
CVFCWCVF	8	vincible	0.00011641643225244039	0.6931471805599453
CVFCWCVF	8	pandemic	0.00032594151663877766	6.2766434893416445
CVFCWCVF	8	vibration	0.0008537531436501316	5.655991810819852
CVFCWCVF	8	mischievous	0.0002377488105337075	4.836281906951478
CVFCWCVF	8	barnacle	0.000773104112438633	3.6888794541139363
CVFCWCVF	8	pompadour	5.993492398289386e-05	3.091042453358316
CVFCWCVF	8	calumet	0.0009259554836832093	2.4849066497880004
CVFCWCVF	8	convalesce	4.908632970095101e-05	0.6931471805599453
CVFCWCVF	8	fingering	0.0001345055849800584	4.060443010546419
CVFCWCVF	8	sardonic	0.00013991445829226754	3.332204510175204
CVFCWCVF	8	muscatel	0.00029951174407432134	2.0794415416798357
CVFCWCVF	8	disposal	0.00016315531362283195	6.380122536899765
CVFCWCVF	8	cosmonaut	9.180659856607635e-05	5.111987788356544
CVFCWCVF	8	castigate	8.475280299192235e-05	2.995732273553991
CVFCWCVF	8	fingernail	0.0003683838006192926	6.113682179832232
CVFCWCVF	8	palpable	0.0002750276718710887	5.480638923341991
CVFCWCVF	8	vestigial	9.695931813881591e-05	2.6390573296152584
CVFCWCVF	8	synthesis	0.000445837124820469	4.276666119016055
CVFCWCVF	8	narcotic	0.00015307118560148905	6.548219102762372
CVFCWCVF	8	barbaric	0.00055014745163276	5.560681631015528
CVFCWCVF	8	synthetic	8.439502913549357e-05	5.869296913133774
CVFCWCVF	8	cognition	0.0012251178938352946	3.6888794541139363
CVFCWCVF	8	cosmetic	0.00010140868782542702	6.901737206656574
CVFCWCVF	8	combative	4.335485344113006e-05	5.62040086571715
CVFCWCVF	8	vindicate	3.313435237038492e-05	4.6443908991413725
CVFCWCVF	8	dictation	0.0004733488926506727	3.871201010907891
CVFCWCVF	8	dignified	9.183326327154645e-05	5.755742213586912
CVFCWCVF	8	cognitive	8.612384519653921e-05	5.69035945432406
CVFCWCVF	8	wonderful	0.00016870511627092524	9.958259788383108
CVFCWCVF	8	chamberlain	0.001018903201084668	5.298317366548036
CVFCWCVF	8	fictitious	0.0005674379291948836	5.135798437050262
CVFCWCVF	8	conjugal	0.00019069962496681637	3.784189633918261
CVFCWCVF	8	barbarous	0.00019469625321098097	3.4657359027997265
